Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 74.0.3729.169,Open the Browser,,2019-05-29 11:34:52,2019-05-29 11:34:53,1.052s,PASSED
"contactURL = concatenate([URLBase, URLStubContact], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-29 11:34:53,2019-05-29 11:34:53,0.003s,PASSED
navigateToUrl(contactURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-29 11:34:53,2019-05-29 11:34:54,1.203s,PASSED
"oem = executeJavaScript(""return DDC.dataLayer.site.franchises;"", null)",Chrome 74.0.3729.169,,,2019-05-29 11:34:54,2019-05-29 11:34:54,0.015s,PASSED
"stripChars = { java.lang.Object string, java.lang.Object stripChars -> ... }",Chrome 74.0.3729.169,,,2019-05-29 11:34:54,2019-05-29 11:34:54,0.001s,PASSED
"cleanOEM = stripChars.call(oem, ""[""]"")",Chrome 74.0.3729.169,,,2019-05-29 11:34:54,2019-05-29 11:34:54,0.001s,PASSED
println(cleanOEM),Chrome 74.0.3729.169,,,2019-05-29 11:34:54,2019-05-29 11:34:54,0.000s,PASSED
switch (cleanOEM),Chrome 74.0.3729.169,,,2019-05-29 11:34:54,2019-05-29 11:34:54,0.001s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-29 11:34:54,2019-05-29 11:34:54,0.221s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-29 11:34:54,2019-05-29 11:34:54,0.118s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Phone"", false)",Chrome 74.0.3729.169,Select Contact Preference: Phone,,2019-05-29 11:34:54,2019-05-29 11:34:55,0.120s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/PhoneNumber""), PhoneNumber)",Chrome 74.0.3729.169,Enter the Phone Number,,2019-05-29 11:34:55,2019-05-29 11:34:55,0.179s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/CommentForm""), ""This is a Test Lead to verify the Contact Us form functionality using Phone as preferred method."")",Chrome 74.0.3729.169,Comment that This is a Test Lead,,2019-05-29 11:34:55,2019-05-29 11:34:55,0.560s,PASSED
"click(findTestObject(""Forms_Standard/Contact_Us/SubmitButton""))",Chrome 74.0.3729.169,Submit,,2019-05-29 11:34:55,2019-05-29 11:34:57,1.319s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-29 11:34:57,2019-05-29 11:34:57,0.100s,PASSED
