Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Forms-Standard,Chrome 74.0.3729.169,"Suite Containing CarFinder, ContactUs (email & phone), FinanceForm, PartsForm (email & phone), ScheduleServiceForm (email & phone) for Leads Testing. WIP",,2019-05-23 13:58:58,2019-05-23 13:59:10,11.786s,INCOMPLETE
,,,,,,,
Test Cases/Forms_Standard/Order_Parts_Standard,Chrome 74.0.3729.169,,,2019-05-23 13:58:58,2019-05-23 13:59:01,2.157s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-23 13:58:59,2019-05-23 13:59:00,1.902s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-23 13:59:00,2019-05-23 13:59:01,0.091s,PASSED
,,,,,,,
Test Cases/Forms_Standard/Contact_Us_Standard_Email,Chrome 74.0.3729.169,Submit a Test Lead for Contact Us form,"form, test lead",2019-05-23 13:59:01,2019-05-23 13:59:05,4.888s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open the Browser,,2019-05-23 13:59:01,2019-05-23 13:59:02,1.012s,PASSED
"contactURL = concatenate([URLBase, URLStubContact], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-23 13:59:02,2019-05-23 13:59:02,0.253s,PASSED
navigateToUrl(contactURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-23 13:59:02,2019-05-23 13:59:03,1.417s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-23 13:59:03,2019-05-23 13:59:04,0.240s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-23 13:59:04,2019-05-23 13:59:04,0.147s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Email"", false)",Chrome 74.0.3729.169,Select Contact Preference: Email,,2019-05-23 13:59:04,2019-05-23 13:59:04,0.073s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/EmailAddress""), Email)",Chrome 74.0.3729.169,Enter the Email Address,,2019-05-23 13:59:04,2019-05-23 13:59:04,0.153s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/CommentForm""), ""This is a Test Lead to verify the Contact Us form functionality using Phone as preferred method."")",Chrome 74.0.3729.169,,,2019-05-23 13:59:04,2019-05-23 13:59:04,0.475s,PASSED
"click(findTestObject(""Forms_Standard/Contact_Us/SubmitButton""))",Chrome 74.0.3729.169,,,2019-05-23 13:59:04,2019-05-23 13:59:05,0.902s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-23 13:59:05,2019-05-23 13:59:05,0.094s,PASSED
,,,,,,,
Test Cases/Forms_Standard/Contact_Us_Standard_Phone,Chrome 74.0.3729.169,Submit a Test Lead for Contact Us form,"form, test lead",2019-05-23 13:59:05,2019-05-23 13:59:10,4.575s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open the Browser,,2019-05-23 13:59:06,2019-05-23 13:59:07,1.067s,PASSED
"contactURL = concatenate([URLBase, URLStubContact], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-23 13:59:07,2019-05-23 13:59:07,0.003s,PASSED
navigateToUrl(contactURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-23 13:59:07,2019-05-23 13:59:08,1.183s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-23 13:59:08,2019-05-23 13:59:08,0.213s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-23 13:59:08,2019-05-23 13:59:08,0.145s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Phone"", false)",Chrome 74.0.3729.169,Select Contact Preference: Email,,2019-05-23 13:59:08,2019-05-23 13:59:08,0.124s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/PhoneNumber""), PhoneNumber)",Chrome 74.0.3729.169,Enter the Email Address,,2019-05-23 13:59:08,2019-05-23 13:59:08,0.176s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/CommentForm""), ""This is a Test Lead to verify the Contact Us form functionality using Phone as preferred method."")",Chrome 74.0.3729.169,,,2019-05-23 13:59:08,2019-05-23 13:59:09,0.510s,PASSED
"click(findTestObject(""Forms_Standard/Contact_Us/SubmitButton""))",Chrome 74.0.3729.169,,,2019-05-23 13:59:09,2019-05-23 13:59:10,0.971s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-23 13:59:10,2019-05-23 13:59:10,0.100s,PASSED
