Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Forms_Standard/Parts/Car_Year""), ""2015"")",Chrome 74.0.3729.169,Enter the Car Year,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.104s,PASSED
"setText(findTestObject(""Forms_Standard/Parts/Car_Make""), ""Honda"")",Chrome 74.0.3729.169,Enter the Car Make,,2019-05-29 11:51:53,2019-05-29 11:51:54,0.108s,PASSED
"setText(findTestObject(""Forms_Standard/Parts/Car_Model""), ""Accord"")",Chrome 74.0.3729.169,Enter the Car Model,,2019-05-29 11:51:54,2019-05-29 11:51:54,0.094s,PASSED
"setText(findTestObject(""Forms_Standard/Parts/Car_Part_Number""), ""0000"")",Chrome 74.0.3729.169,Enter the Car Part Number,,2019-05-29 11:51:54,2019-05-29 11:51:54,0.084s,PASSED
"click(findTestObject(""Forms_Standard/Parts/SubmitButton""))",Chrome 74.0.3729.169,Submit the Form,,2019-05-29 11:51:54,2019-05-29 11:51:55,1.046s,PASSED
closeBrowser(),Chrome 74.0.3729.169,Close the Browser,,2019-05-29 11:51:55,2019-05-29 11:51:55,0.095s,PASSED
,,,,,,,
Test Cases/Forms_Standard/Contact_Us_Standard_Email,Chrome 74.0.3729.169,Submit a Test Lead for Contact Us form using Email as preference.,"form, test lead",2019-05-29 11:51:55,2019-05-29 11:51:59,3.950s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open the Browser,,2019-05-29 11:51:55,2019-05-29 11:51:56,0.909s,PASSED
"contactURL = concatenate([URLBase, URLStubContact], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-29 11:51:56,2019-05-29 11:51:56,0.003s,PASSED
navigateToUrl(contactURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-29 11:51:56,2019-05-29 11:51:57,0.975s,PASSED
"oem = executeJavaScript(""return DDC.dataLayer.site.franchises;"", null)",Chrome 74.0.3729.169,,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.009s,PASSED
"stripChars = { java.lang.Object string, java.lang.Object stripChars -> ... }",Chrome 74.0.3729.169,,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.001s,PASSED
"cleanOEM = stripChars.call(oem, ""[""]"")",Chrome 74.0.3729.169,,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.001s,PASSED
println(cleanOEM),Chrome 74.0.3729.169,,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.002s,PASSED
switch (cleanOEM),Chrome 74.0.3729.169,,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.002s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.189s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.128s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Email"", false)",Chrome 74.0.3729.169,Select Contact Preference: Email,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.059s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/EmailAddress""), Email)",Chrome 74.0.3729.169,Enter the Email Address,,2019-05-29 11:51:57,2019-05-29 11:51:57,0.145s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/CommentForm""), ""This is a Test Lead to verify the Contact Us form functionality using Phone as preferred method."")",Chrome 74.0.3729.169,Comment that this is a Test Lead,,2019-05-29 11:51:57,2019-05-29 11:51:58,0.451s,PASSED
"click(findTestObject(""Forms_Standard/Contact_Us/SubmitButton""))",Chrome 74.0.3729.169,Submit Form,,2019-05-29 11:51:58,2019-05-29 11:51:59,0.881s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-29 11:51:59,2019-05-29 11:51:59,0.091s,PASSED
,,,,,,,
Test Cases/Forms_Standard/Contact_Us_Standard_Phone,Chrome 74.0.3729.169,Submit a Test Lead for Contact Us form usign Phone as preference,"form, test lead",2019-05-29 11:51:59,2019-05-29 11:52:04,5.112s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open the Browser,,2019-05-29 11:51:59,2019-05-29 11:52:00,1.007s,PASSED
"contactURL = concatenate([URLBase, URLStubContact], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-29 11:52:00,2019-05-29 11:52:00,0.002s,PASSED
navigateToUrl(contactURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-29 11:52:00,2019-05-29 11:52:01,1.568s,PASSED
"oem = executeJavaScript(""return DDC.dataLayer.site.franchises;"", null)",Chrome 74.0.3729.169,,,2019-05-29 11:52:01,2019-05-29 11:52:02,0.018s,PASSED
"stripChars = { java.lang.Object string, java.lang.Object stripChars -> ... }",Chrome 74.0.3729.169,,,2019-05-29 11:52:02,2019-05-29 11:52:02,0.001s,PASSED
"cleanOEM = stripChars.call(oem, ""[""]"")",Chrome 74.0.3729.169,,,2019-05-29 11:52:02,2019-05-29 11:52:02,0.000s,PASSED
println(cleanOEM),Chrome 74.0.3729.169,,,2019-05-29 11:52:02,2019-05-29 11:52:02,0.000s,PASSED
switch (cleanOEM),Chrome 74.0.3729.169,,,2019-05-29 11:52:02,2019-05-29 11:52:02,0.002s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-29 11:52:02,2019-05-29 11:52:02,0.197s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-29 11:52:02,2019-05-29 11:52:02,0.148s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Phone"", false)",Chrome 74.0.3729.169,Select Contact Preference: Phone,,2019-05-29 11:52:02,2019-05-29 11:52:02,0.129s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/PhoneNumber""), PhoneNumber)",Chrome 74.0.3729.169,Enter the Phone Number,,2019-05-29 11:52:02,2019-05-29 11:52:02,0.185s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/CommentForm""), ""This is a Test Lead to verify the Contact Us form functionality using Phone as preferred method."")",Chrome 74.0.3729.169,Comment that This is a Test Lead,,2019-05-29 11:52:02,2019-05-29 11:52:03,0.545s,PASSED
"click(findTestObject(""Forms_Standard/Contact_Us/SubmitButton""))",Chrome 74.0.3729.169,Submit,,2019-05-29 11:52:03,2019-05-29 11:52:04,1.120s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-29 11:52:04,2019-05-29 11:52:04,0.090s,PASSED
,,,,,,,
Test Cases/Forms_Standard/Order_Parts_Standard_Phone,Chrome 74.0.3729.169,Submit a Test Lead for Parts Orde form using Phone as preference,,2019-05-29 11:52:04,2019-05-29 11:52:08,3.836s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-29 11:52:04,2019-05-29 11:52:05,1.023s,PASSED
"partsURL = concatenate([URLBase, URLStubParts], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-29 11:52:05,2019-05-29 11:52:05,0.002s,PASSED
navigateToUrl(partsURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-29 11:52:05,2019-05-29 11:52:06,1.149s,PASSED
"oem = executeJavaScript(""return DDC.dataLayer.site.franchises;"", null)",Chrome 74.0.3729.169,Get the Site's OEM Franchise,,2019-05-29 11:52:06,2019-05-29 11:52:06,0.017s,PASSED
"stripChars = { java.lang.Object string, java.lang.Object stripChars -> ... }",Chrome 74.0.3729.169,,,2019-05-29 11:52:06,2019-05-29 11:52:06,0.001s,PASSED
"cleanOEM = stripChars.call(oem, ""[""]"")",Chrome 74.0.3729.169,,,2019-05-29 11:52:06,2019-05-29 11:52:06,0.001s,PASSED
switch (cleanOEM),Chrome 74.0.3729.169,,,2019-05-29 11:52:06,2019-05-29 11:52:06,0.000s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-29 11:52:06,2019-05-29 11:52:06,0.247s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-29 11:52:06,2019-05-29 11:52:07,0.157s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Phone"", false)",Chrome 74.0.3729.169,Select Contact Preference: Email,,2019-05-29 11:52:07,2019-05-29 11:52:07,0.147s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/EmailAddress""), PhoneNumber)",Chrome 74.0.3729.169,Enter the Email Address,,2019-05-29 11:52:07,2019-05-29 11:52:07,0.210s,PASSED
"setText(findTestObject(""Forms_Standard/Parts/Car_Year""), ""2015"")",Chrome 74.0.3729.169,Enter the Car Year,,2019-05-29 11:52:07,2019-05-29 11:52:07,0.143s,PASSED
"setText(findTestObject(""Forms_Standard/Parts/Car_Make""), ""Honda"")",Chrome 74.0.3729.169,Enter the Car Make,,2019-05-29 11:52:07,2019-05-29 11:52:07,0.143s,PASSED
"setText(findTestObject(""Forms_Standard/Parts/Car_Model""), ""Accord"")",Chrome 74.0.3729.169,Enter the Car Model,,2019-05-29 11:52:07,2019-05-29 11:52:07,0.137s,PASSED
"setText(findTestObject(""Forms_Standard/Parts/Car_Part_Number""), ""0000"")",Chrome 74.0.3729.169,Enter the Car Part Number,,2019-05-29 11:52:07,2019-05-29 11:52:08,0.120s,PASSED
"click(findTestObject(""Forms_Standard/Parts/SubmitButton""))",Chrome 74.0.3729.169,Submit the Form,,2019-05-29 11:52:08,2019-05-29 11:52:08,0.145s,PASSED
closeBrowser(),Chrome 74.0.3729.169,Close the Browser,,2019-05-29 11:52:08,2019-05-29 11:52:08,0.095s,PASSED
