Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Forms-Standard,Chrome 74.0.3729.169,"Suite Containing CarFinder, ContactUs (email & phone), FinanceForm, PartsForm (email & phone), ScheduleServiceForm (email & phone) for Leads Testing. WIP",,2019-05-29 11:51:49,2019-05-29 11:52:08,18.382s,INCOMPLETE
,,,,,,,
Test Cases/Forms_Standard/Order_Parts_Standard_Email,Chrome 74.0.3729.169,Submit a Test Lead for Parts Orde form using Email as preference,,2019-05-29 11:51:50,2019-05-29 11:51:55,5.319s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-29 11:51:50,2019-05-29 11:51:51,1.734s,PASSED
"partsURL = concatenate([URLBase, URLStubParts], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-29 11:51:51,2019-05-29 11:51:52,0.236s,PASSED
navigateToUrl(partsURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-29 11:51:52,2019-05-29 11:51:53,1.091s,PASSED
"oem = executeJavaScript(""return DDC.dataLayer.site.franchises;"", null)",Chrome 74.0.3729.169,Get the Site's OEM Franchise,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.027s,PASSED
"stripChars = { java.lang.Object string, java.lang.Object stripChars -> ... }",Chrome 74.0.3729.169,,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.001s,PASSED
"cleanOEM = stripChars.call(oem, ""[""]"")",Chrome 74.0.3729.169,,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.003s,PASSED
switch (cleanOEM),Chrome 74.0.3729.169,,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.002s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.203s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.118s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Email"", false)",Chrome 74.0.3729.169,Select Contact Preference: Email,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.064s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/EmailAddress""), Email)",Chrome 74.0.3729.169,Enter the Email Address,,2019-05-29 11:51:53,2019-05-29 11:51:53,0.126s,PASSED
