Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Forms-Standard,Chrome 74.0.3729.169,"Suite Containing CarFinder, ContactUs (email & phone), FinanceForm, PartsForm (email & phone), ScheduleServiceForm (email & phone) for Leads Testing. WIP",,2019-05-28 12:06:47,2019-05-28 12:06:58,11.584s,INCOMPLETE
,,,,,,,
Test Cases/Forms_Standard/Order_Parts_Standard,Chrome 74.0.3729.169,,,2019-05-28 12:06:47,2019-05-28 12:06:49,1.942s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 12:06:47,2019-05-28 12:06:49,1.680s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 12:06:49,2019-05-28 12:06:49,0.126s,PASSED
,,,,,,,
Test Cases/Forms_Standard/Contact_Us_Standard_Email,Chrome 74.0.3729.169,Submit a Test Lead for Contact Us form,"form, test lead",2019-05-28 12:06:49,2019-05-28 12:06:54,4.505s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 74.0.3729.169,,,2019-05-28 12:06:49,2019-05-28 12:06:49,0.001s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open the Browser,,2019-05-28 12:06:49,2019-05-28 12:06:50,0.962s,PASSED
"contactURL = concatenate([URLBase, URLStubContact], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-28 12:06:50,2019-05-28 12:06:50,0.234s,PASSED
navigateToUrl(contactURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-28 12:06:50,2019-05-28 12:06:51,0.991s,PASSED
"oem = executeJavaScript(""return DDC.dataLayer.site.franchises;"", null)",Chrome 74.0.3729.169,,,2019-05-28 12:06:51,2019-05-28 12:06:51,0.023s,PASSED
"stripChars = { java.lang.Object string, java.lang.Object stripChars -> ... }",Chrome 74.0.3729.169,,,2019-05-28 12:06:51,2019-05-28 12:06:51,0.002s,PASSED
"cleanOEM = stripChars.call(oem, ""[""]"")",Chrome 74.0.3729.169,,,2019-05-28 12:06:51,2019-05-28 12:06:51,0.003s,PASSED
println(cleanOEM),Chrome 74.0.3729.169,,,2019-05-28 12:06:51,2019-05-28 12:06:51,0.003s,PASSED
switch (cleanOEM),Chrome 74.0.3729.169,,,2019-05-28 12:06:51,2019-05-28 12:06:51,0.004s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-28 12:06:51,2019-05-28 12:06:52,0.206s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-28 12:06:52,2019-05-28 12:06:52,0.109s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Email"", false)",Chrome 74.0.3729.169,Select Contact Preference: Email,,2019-05-28 12:06:52,2019-05-28 12:06:52,0.075s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/EmailAddress""), Email)",Chrome 74.0.3729.169,Enter the Email Address,,2019-05-28 12:06:52,2019-05-28 12:06:52,0.138s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/CommentForm""), ""This is a Test Lead to verify the Contact Us form functionality using Phone as preferred method."")",Chrome 74.0.3729.169,Comment that this is a Test Lead,,2019-05-28 12:06:52,2019-05-28 12:06:52,0.464s,PASSED
"click(findTestObject(""Forms_Standard/Contact_Us/SubmitButton""))",Chrome 74.0.3729.169,Submit Form,,2019-05-28 12:06:52,2019-05-28 12:06:53,1.012s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 12:06:53,2019-05-28 12:06:54,0.091s,PASSED
,,,,,,,
Test Cases/Forms_Standard/Contact_Us_Standard_Phone,Chrome 74.0.3729.169,Submit a Test Lead for Contact Us form,"form, test lead",2019-05-28 12:06:54,2019-05-28 12:06:58,4.976s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open the Browser,,2019-05-28 12:06:54,2019-05-28 12:06:55,0.990s,PASSED
"contactURL = concatenate([URLBase, URLStubContact], STOP_ON_FAILURE)",Chrome 74.0.3729.169,Get the Desired URL,,2019-05-28 12:06:55,2019-05-28 12:06:55,0.003s,PASSED
navigateToUrl(contactURL),Chrome 74.0.3729.169,Open the Desired URL,,2019-05-28 12:06:55,2019-05-28 12:06:56,1.172s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/FirstName""), FirstName)",Chrome 74.0.3729.169,Enter the First Name,,2019-05-28 12:06:56,2019-05-28 12:06:56,0.187s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/LastName""), LastName)",Chrome 74.0.3729.169,Enter the Last Name,,2019-05-28 12:06:56,2019-05-28 12:06:56,0.130s,PASSED
"selectOptionByLabel(findTestObject(""Forms_Standard/Contact_Us/PreferredContact""), ""Phone"", false)",Chrome 74.0.3729.169,Select Contact Preference: Email,,2019-05-28 12:06:56,2019-05-28 12:06:56,0.116s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/PhoneNumber""), PhoneNumber)",Chrome 74.0.3729.169,Enter the Email Address,,2019-05-28 12:06:56,2019-05-28 12:06:56,0.173s,PASSED
"setText(findTestObject(""Forms_Standard/Contact_Us/CommentForm""), ""This is a Test Lead to verify the Contact Us form functionality using Phone as preferred method."")",Chrome 74.0.3729.169,,,2019-05-28 12:06:56,2019-05-28 12:06:57,0.511s,PASSED
"click(findTestObject(""Forms_Standard/Contact_Us/SubmitButton""))",Chrome 74.0.3729.169,,,2019-05-28 12:06:57,2019-05-28 12:06:58,1.523s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 12:06:58,2019-05-28 12:06:58,0.093s,PASSED
